,Implementation,Solver,Wall-clock time (s),Exploitability
0,Sequence-form,Ours (parallelized),0.14050960540771484,0.3847700221313614
1,Sequence-form,Ours (parallelized),0.19034433364868164,0.675153542761305
2,Sequence-form,Ours (parallelized),0.2743668556213379,0.41085833225572005
3,Sequence-form,Ours (parallelized),0.4339179992675781,0.2375557543319107
4,Sequence-form,Ours (parallelized),0.7841861248016357,0.11958736902365155
5,Sequence-form,Ours (parallelized),1.5443940162658691,0.06341419950767627
6,Sequence-form,Ours (parallelized),2.8658480644226074,0.03303819684383302
7,Sequence-form,Ours (parallelized),5.365521669387817,0.01760813053517403
8,Sequence-form,Ours (parallelized),10.613544940948486,0.009321115729302661
9,Sequence-form,Ours (parallelized),21.102446794509888,0.004735184387821743
10,Sequence-form,Ours (parallelized),41.73665761947632,0.0025357246509836867
11,Sequence-form,Ours (parallelized),83.76531529426575,0.0013487954771997223
12,Sequence-form,Ours (parallelized),166.2433774471283,0.0007981096290559792
13,Sequence-form,Ours (parallelized),325.69520449638367,0.0004363688576581471
14,Sequence-form,Ours (parallelized),641.0098705291748,0.0002048127787919133
15,Sequence-form,Ours (parallelized),1000.0310428142548,0.0001303057678586888
16,Sequence-form,Ours (unparallelized),1.0019721984863281,0.3847700221313614
17,Sequence-form,Ours (unparallelized),2.2981364727020264,0.675153542761305
18,Sequence-form,Ours (unparallelized),4.927030324935913,0.41085833225572005
19,Sequence-form,Ours (unparallelized),10.163893222808838,0.23755575433191067
20,Sequence-form,Ours (unparallelized),20.6480815410614,0.11958736902365157
21,Sequence-form,Ours (unparallelized),41.76240277290344,0.06341419950767627
22,Sequence-form,Ours (unparallelized),84.10720419883728,0.033038196843833675
23,Sequence-form,Ours (unparallelized),170.28351473808289,0.0176081305351756
24,Sequence-form,Ours (unparallelized),343.5879421234131,0.0093211157292944
25,Sequence-form,Ours (unparallelized),691.182492017746,0.004735184388968552
26,Sequence-form,Ours (unparallelized),1344.419440984726,0.0025235596760457123
27,Classical,OpenSpiel (C++),0.4463200569152832,0.78074432319224
28,Classical,OpenSpiel (C++),0.6416382789611816,0.5691408847225425
29,Classical,OpenSpiel (C++),0.9624571800231934,0.3915328451509923
30,Classical,OpenSpiel (C++),1.4676296710968018,0.2270197264183897
31,Classical,OpenSpiel (C++),2.335263967514038,0.11785550004295585
32,Classical,OpenSpiel (C++),4.119441509246826,0.06254451826137945
33,Classical,OpenSpiel (C++),7.5464928150177,0.032797936076424394
34,Classical,OpenSpiel (C++),13.625872135162354,0.017576764553017023
35,Classical,OpenSpiel (C++),25.9171359539032,0.00932205255789684
36,Classical,OpenSpiel (C++),47.26523971557617,0.004749505690884358
37,Classical,OpenSpiel (C++),82.46376347541809,0.0025375600281258223
38,Classical,OpenSpiel (C++),152.75311970710754,0.0013734506920738757
39,Classical,OpenSpiel (C++),299.8954939842224,0.0007836289038094559
40,Classical,OpenSpiel (C++),550.5569548606873,0.0004006418027931516
41,Classical,OpenSpiel (C++),997.8831033706665,0.00020685181676555198
42,Classical,OpenSpiel (C++),1000.0454604625702,0.0002100273589354662
43,Classical,OpenSpiel (Python),6.054760456085205,0.78074432319224
44,Classical,OpenSpiel (Python),9.145795345306396,0.5691408847225425
45,Classical,OpenSpiel (Python),14.378566980361938,0.3915328451509923
46,Classical,OpenSpiel (Python),22.851070642471313,0.2270197264183897
47,Classical,OpenSpiel (Python),37.899282932281494,0.11785550004295585
48,Classical,OpenSpiel (Python),69.179434299469,0.06254451826137945
49,Classical,OpenSpiel (Python),128.76265907287598,0.032797936076424394
50,Classical,OpenSpiel (Python),236.05030989646912,0.017576764553017023
51,Classical,OpenSpiel (Python),446.6036636829376,0.00932205255789684
52,Classical,OpenSpiel (Python),819.8067321777344,0.004749505690884358
53,Classical,OpenSpiel (Python),1000.9987978935242,0.003889155051355276
